Location,2011_Employee Contribution,2011_Total,2011_Deductible,2012_Employee Contribution,2012_Total,2012_Deductible,2013_Employee Contribution,2013_Total,2013_Deductible,2014_Employee Contribution,2014_Total,2014_Deductible,2015_Employee Contribution,2015_Total,2015_Deductible,2016_Employee Contribution,2016_Total,2016_Deductible,2011_Income,2012_Income,2013_Income,2014_Income,2015_Income,2016_Income,2012_Votes,2016_Votes,Shift_Flag,2011_Total_population,2011_Total_Age18,2011_Total_Age18-64,2011_Total_Age65,2011_Total_White,2011_Total_Black,2011_Total_Native,2011_Total_Asian,2011_Total_Hawaiian,2011_Total_OtherRace,2011_Total_MultiRace,2011_Total_Household,2011_Total_Inc25000,2011_Total_Inc50000,2011_Total_Inc75000,2011_Total_Inc100000,2011_Total_Inc999999,2011_Uninsured,2011_Uninsured_Age18,2011_Uninsured_Age18-64,2011_Uninsured_Age65,2011_Uninsured_White,2011_Uninsured_Black,2011_Uninsured_Native,2011_Uninsured_Asian,2011_Uninsured_Hawaiian,2011_Uninsured_OtherRace,2011_Uninsured_MultiRace,2011_Uninsured_Household,2011_Uninsured_Inc25000,2011_Uninsured_Inc50000,2011_Uninsured_Inc75000,2011_Uninsured_Inc100000,2011_Uninsured_Inc999999,2012_Total_population,2012_Total_Age18,2012_Total_Age18-64,2012_Total_Age65,2012_Total_White,2012_Total_Black,2012_Total_Native,2012_Total_Asian,2012_Total_Hawaiian,2012_Total_OtherRace,2012_Total_MultiRace,2012_Total_Household,2012_Total_Inc25000,2012_Total_Inc50000,2012_Total_Inc75000,2012_Total_Inc100000,2012_Total_Inc999999,2012_Uninsured,2012_Uninsured_Age18,2012_Uninsured_Age18-64,2012_Uninsured_Age65,2012_Uninsured_White,2012_Uninsured_Black,2012_Uninsured_Native,2012_Uninsured_Asian,2012_Uninsured_Hawaiian,2012_Uninsured_OtherRace,2012_Uninsured_MultiRace,2012_Uninsured_Household,2012_Uninsured_Inc25000,2012_Uninsured_Inc50000,2012_Uninsured_Inc75000,2012_Uninsured_Inc100000,2012_Uninsured_Inc999999,2013_Total_population,2013_Total_Age18,2013_Total_Age18-64,2013_Total_Age65,2013_Total_White,2013_Total_Black,2013_Total_Native,2013_Total_Asian,2013_Total_Hawaiian,2013_Total_OtherRace,2013_Total_MultiRace,2013_Total_Household,2013_Total_Inc25000,2013_Total_Inc50000,2013_Total_Inc75000,2013_Total_Inc100000,2013_Total_Inc999999,2013_Uninsured,2013_Uninsured_Age18,2013_Uninsured_Age18-64,2013_Uninsured_Age65,2013_Uninsured_White,2013_Uninsured_Black,2013_Uninsured_Native,2013_Uninsured_Asian,2013_Uninsured_Hawaiian,2013_Uninsured_OtherRace,2013_Uninsured_MultiRace,2013_Uninsured_Household,2013_Uninsured_Inc25000,2013_Uninsured_Inc50000,2013_Uninsured_Inc75000,2013_Uninsured_Inc100000,2013_Uninsured_Inc999999,2014_Total_population,2014_Total_Age18,2014_Total_Age18-64,2014_Total_Age65,2014_Total_White,2014_Total_Black,2014_Total_Native,2014_Total_Asian,2014_Total_Hawaiian,2014_Total_OtherRace,2014_Total_MultiRace,2014_Total_Household,2014_Total_Inc25000,2014_Total_Inc50000,2014_Total_Inc75000,2014_Total_Inc100000,2014_Total_Inc999999,2014_Uninsured,2014_Uninsured_Age18,2014_Uninsured_Age18-64,2014_Uninsured_Age65,2014_Uninsured_White,2014_Uninsured_Black,2014_Uninsured_Native,2014_Uninsured_Asian,2014_Uninsured_Hawaiian,2014_Uninsured_OtherRace,2014_Uninsured_MultiRace,2014_Uninsured_Household,2014_Uninsured_Inc25000,2014_Uninsured_Inc50000,2014_Uninsured_Inc75000,2014_Uninsured_Inc100000,2014_Uninsured_Inc999999,2015_Total_population,2015_Total_Age18,2015_Total_Age18-64,2015_Total_Age65,2015_Total_White,2015_Total_Black,2015_Total_Native,2015_Total_Asian,2015_Total_Hawaiian,2015_Total_OtherRace,2015_Total_MultiRace,2015_Total_Household,2015_Total_Inc25000,2015_Total_Inc50000,2015_Total_Inc75000,2015_Total_Inc100000,2015_Total_Inc999999,2015_Uninsured,2015_Uninsured_Age18,2015_Uninsured_Age18-64,2015_Uninsured_Age65,2015_Uninsured_White,2015_Uninsured_Black,2015_Uninsured_Native,2015_Uninsured_Asian,2015_Uninsured_Hawaiian,2015_Uninsured_OtherRace,2015_Uninsured_MultiRace,2015_Uninsured_Household,2015_Uninsured_Inc25000,2015_Uninsured_Inc50000,2015_Uninsured_Inc75000,2015_Uninsured_Inc100000,2015_Uninsured_Inc999999,2016_Total_population,2016_Total_Age18,2016_Total_Age18-64,2016_Total_Age65,2016_Total_White,2016_Total_Black,2016_Total_Native,2016_Total_Asian,2016_Total_Hawaiian,2016_Total_OtherRace,2016_Total_MultiRace,2016_Total_Household,2016_Total_Inc25000,2016_Total_Inc50000,2016_Total_Inc75000,2016_Total_Inc100000,2016_Total_Inc999999,2016_Uninsured,2016_Uninsured_Age18,2016_Uninsured_Age18-64,2016_Uninsured_Age65,2016_Uninsured_White,2016_Uninsured_Black,2016_Uninsured_Native,2016_Uninsured_Asian,2016_Uninsured_Hawaiian,2016_Uninsured_OtherRace,2016_Uninsured_MultiRace,2016_Uninsured_Household,2016_Uninsured_Inc25000,2016_Uninsured_Inc50000,2016_Uninsured_Inc75000,2016_Uninsured_Inc100000,2016_Uninsured_Inc999999
Pennsylvania,4633,18858,2126,4012,17122,2299,4304,17165,2131,3883,17621,2621,4056,18496,2922,4560,17900,3030,62349,57825,57813,59540,64400,56907,Democratic,Republican,Shifter,12539757,2754741,7883366,1901650,10356467,1314468,16347,356816,2001,252039,241619,12303792,2259196,2750388,2466376,1737024,3090808,1264548,149227,1104456,10865,936701,185482,2364,56672,234,58295,24800,1249332,362807,409201,243100,115987,118237,12492799,2775436,7826146,1891217,10342879,1311520,18430,350285,3730,238313,227642,12263228,2093460,2685280,2418432,1797870,3268186,1207901,147055,1051817,9029,886982,189544,3071,49404,400,53169,25331,1194514,324169,381438,232380,119950,136577,12525314,2753386,7847159,1924769,10336241,1324293,19337,362662,3429,240895,238457,12295508,2091734,2669197,2376587,1803105,3354885,1229005,145138,1073937,9930,899683,191446,3617,53732,382,53839,26306,1216307,327799,387056,233485,123844,144123,12553967,2733362,7858793,1961812,10321235,1333436,21915,376616,3668,243130,253967,12324112,2067802,2645001,2361005,1791975,3458329,1195810,141625,1044114,10071,869056,185220,4373,53993,360,54563,28245,1182598,316157,376676,228757,119567,141441,12575088,2715362,7855199,2004527,10299897,1342966,22651,391331,4231,247095,266917,12344843,2049488,2618986,2348997,1792668,3534704,1106674,135836,960313,10525,798761,172439,4161,51139,375,53688,26111,1092912,288505,350350,211929,109180,132948,12579422,2666701,7772430,2140291,10208459,1350224,22675,422109,3373,255920,316662,12351055,1878037,2458343,2307937,1745545,3961193,708477,116374,582107,9996,517108,97319,2522,30186,378,39969,20995,698078,153931,201483,140072,85670,116922
Rhode Island,4362,19080,2359,5349,17673,2508,4549,17228,2552,5052,17719,2757,4794,18758,3288,5035,18010,2912,61254,62461,61950,63274,59401,60596,Democratic,Democratic,Democratic,1035117,218624,670434,146059,846493,61876,4278,32711,0,61487,28084,1006771,188703,198869,177321,141432,300446,111834,8672,102690,472,75863,10757,665,3992,0,17372,3135,109128,27298,34995,21585,10865,14385,1035336,222588,667587,145161,846297,62996,4626,31558,320,63411,26128,1007141,168042,195518,177643,150476,315462,115177,11564,102665,948,76487,11711,858,4950,33,17997,3141,112652,27301,34107,22768,12051,16425,1035516,219313,668205,147998,842774,65030,4444,32154,383,63820,26911,1007432,170053,193872,176326,149114,318067,117282,10943,105417,922,77371,13121,874,5054,35,18172,2655,114858,28222,33575,23415,12319,17327,1037156,217046,668912,151198,843839,65336,4731,32746,536,61293,28675,1009253,171416,195395,172485,148092,321865,109120,9608,98565,947,71886,12203,831,4797,44,16124,3235,106797,25992,31592,21030,12093,16090,1037930,214575,668491,154864,842431,66905,4951,33955,337,60297,29054,1010259,171860,193207,168490,148698,328004,96159,8670,86633,856,61767,11452,800,4216,10,14927,2987,93944,23009,28233,16990,10777,14935,1040259,208268,665476,166515,837061,66291,5270,36803,0,61110,32287,1011770,154070,193232,162288,134813,367367,44966,3999,40640,327,27003,5008,1018,1444,0,9091,1170,44100,9465,11595,9199,4482,9359
South Carolina,5916,19053,2962,4736,15915,2719,4803,16616,2642,4435,17314,2645,5088,17877,3080,5007,17673,3133,50074,49466,46880,48486,49439,49501,Republican,Republican,Republican,4579231,1079476,2862576,637179,3079252,1266586,12845,62563,0,74182,81768,4523252,1115034,1176718,886224,549663,795613,766304,91191,672992,2121,446891,244360,3129,14266,0,39730,17673,758439,308606,242775,118408,44288,44362,4527713,1074956,2830117,622640,3052949,1250611,14659,56533,1601,72836,78524,4471619,1016448,1138919,872841,584703,858708,764616,102919,658610,3087,450283,246017,3466,11433,416,39854,13147,758223,273733,244461,127235,55884,56910,4578525,1076230,2853629,648666,3089505,1258906,14247,60011,1986,71839,82031,4522434,1027729,1147623,875690,589544,881848,761843,91316,666999,3528,450871,244813,3478,12631,608,37032,12410,755047,270584,244464,127050,57057,55892,4628136,1077009,2873175,677952,3122751,1266536,14697,62128,2158,71948,87918,4572473,1029385,1157703,878859,599981,906545,737418,81799,651828,3791,439336,232902,3277,12928,574,35767,12634,730444,261027,233262,123720,56890,55545,4679496,1079062,2891046,709388,3157521,1277281,14511,65795,2459,71374,90555,4623757,1017979,1162416,895491,609458,938413,680185,70056,606372,3757,408595,211083,2939,12564,700,32323,11981,672850,239306,215280,115870,50719,51675,4861188,1097385,2951505,812298,3287906,1299725,15726,75366,0,75585,104621,4805133,891654,1164963,937746,662592,1148178,485906,43703,439521,2682,301771,137239,2064,8478,0,26305,9696,479830,135749,159181,86766,46794,51340
South Dakota,5159,18126,3218,5088,16710,2748,5256,16909,3216,5104,17646,3562,5268,17270,3212,5386,17117,3767,58992,55053,58350,57253,58722,54467,Republican,Republican,Republican,805505,200704,491514,113287,693608,8591,69524,7787,0,6472,19506,786849,146107,178990,184790,126654,150308,95908,12039,83395,474,61800,2250,24715,1283,0,2137,3723,94938,32228,29881,18249,7664,6916,797646,200704,486139,110803,687812,9612,68870,7979,133,6639,16601,779202,136585,184612,177195,126800,154010,94369,14028,79981,360,61366,2111,24065,1419,77,2139,3192,92130,29050,29968,18242,8005,6865,807439,202990,491666,112783,693457,10780,69091,8533,169,6838,18571,788845,135603,188451,173985,127471,163335,95355,13450,81497,408,61782,1769,24274,1438,60,2496,3536,93113,28639,30926,18008,7865,7675,816989,204798,496435,115756,699467,11924,69156,9356,197,6796,20093,798329,133140,189248,169674,132005,174262,92492,13183,78852,457,59064,1865,24212,1535,50,2223,3543,90103,26527,30452,17450,8132,7542,825506,206488,500083,118935,703517,12329,69863,10081,293,7655,21768,806840,132160,188787,171461,133736,180696,91018,12820,77729,469,57106,1925,23835,1774,72,2781,3525,88389,25400,29979,17206,8313,7491,848774,212981,504919,130874,721186,13487,74590,12849,0,5649,20795,830081,124265,175540,176652,145879,207745,74218,9545,64445,228,44696,2227,22478,869,0,1741,2165,72454,21260,21047,15317,6829,8001
Tennessee,4973,16476,3417,4810,16587,2548,4673,16303,3050,5671,17268,3496,4585,16673,3344,4689,16721,3662,52816,47900,45541,47177,50474,48547,Republican,Republican,Republican,6302351,1487779,3962855,851717,4922243,1041504,18391,92181,2274,105626,120132,6234793,1500430,1639658,1198801,785200,1110704,922650,84927,833572,4151,646164,180761,4946,14675,385,54967,20752,913878,356732,292991,149208,61517,53430,6251368,1490684,3927588,833096,4915581,1029275,15529,92496,2594,87282,108611,6184734,1371630,1595532,1227189,809365,1181018,867752,85523,778592,3637,623927,166489,4061,16552,278,40383,16062,859570,307417,283894,146673,62830,58756,6300636,1489640,3951023,859973,4939699,1042645,16138,95446,2905,92152,111651,6233195,1382755,1598370,1229982,812056,1210032,887807,84265,799450,4092,634136,171263,4516,18268,313,43492,15819,879419,313028,289038,149377,65856,62120,6350480,1489325,3970876,890279,4962228,1051887,17310,97981,3113,97119,120842,6282334,1380866,1596054,1233224,806539,1265651,864874,81172,779504,4198,616087,164731,4677,16966,370,45709,16334,856158,303159,280682,145536,63523,63258,6397431,1489975,3985106,922350,4991838,1061054,17234,101688,3203,95623,126791,6329633,1368258,1594502,1238298,816737,1311838,819113,77854,736930,4329,582965,156516,3942,16462,450,43295,15483,810130,285531,266114,136845,59502,62138,6546914,1500902,4029585,1016427,5107524,1083541,18864,115980,4676,78415,137914,6479349,1225788,1563584,1269002,907210,1513765,592310,53037,534785,4488,429040,110679,3777,12308,636,25779,10091,584498,180292,179665,103934,62541,58066
Texas,5394,18617,3144,5052,16283,2941,5242,17198,3108,5767,18310,2963,5768,18359,3506,5660,17529,3185,61271,57850,56822,58140,60224,56565,Republican,Republican,Republican,25197453,6946969,15623903,2626581,18826788,2896424,126141,992848,17880,1748499,588873,25026957,5261267,6104219,4645769,3162355,5853347,5789846,916522,4824280,49044,4100804,592920,29821,220530,5441,731370,108960,5757613,1780895,1911469,1094120,492026,479103,24723454,6838394,15332784,2552276,18351912,2854079,124533,973892,19456,1854917,544665,24551886,4756180,5895234,4602784,3220208,6077480,5696586,999221,4649357,48008,3977018,591517,35382,205924,4475,777759,104511,5665123,1623853,1903647,1092592,515656,529375,25158370,6913845,15591975,2652550,18755524,2915023,126014,1014030,19845,1748149,579785,24984601,4803036,5940429,4646918,3262021,6332197,5746305,948929,4745767,51609,4053044,601876,35198,211169,5340,729724,109954,5711556,1611209,1898408,1101875,537387,562677,25613334,6979160,15868712,2765462,19178786,2979316,123824,1061872,20683,1639481,609372,25436678,4774040,5959434,4701494,3323490,6678220,5610908,881181,4674211,55516,4022168,582660,32024,208626,5431,653068,106931,5574992,1537292,1836297,1082568,535301,583534,26062431,7048386,16130045,2884000,19554195,3040475,123045,1118426,20739,1564272,641279,25882093,4758599,5970411,4772080,3389695,6991308,5363985,823066,4484264,56655,3891303,555583,29811,196783,4601,582556,103348,5327241,1462500,1737542,1040646,515313,571240,27386023,7282033,16843883,3260107,20394402,3243110,131875,1292825,24537,1597871,701403,27195368,4441718,5943548,5005392,3649706,8155004,4545380,670822,3816473,58085,3352725,447818,27208,144560,3401,480127,89541,4510953,1145726,1412539,918318,474897,559473
Utah,4434,16808,3143,4676,16219,2425,3867,16439,2846,5009,17227,2775,4571,17061,3446,3966,17025,2606,69324,64997,67473,68400,70659,65977,Republican,Republican,Republican,2789648,877812,1657744,254092,2464359,31212,31339,56340,26846,111234,68318,2766180,391543,614522,646893,436604,676618,426064,97242,326866,1956,338154,5825,11317,7734,5669,45384,11981,422906,110244,140279,91997,33672,46714,2737627,864177,1625829,247621,2441727,28541,30036,55777,25365,93721,62460,2714493,342458,581500,621282,449478,719775,404921,94469,308784,1668,326914,5768,9885,7797,5182,39403,9972,401005,96446,129765,87112,37797,49885,2786143,876362,1652632,257149,2464757,29938,30910,57884,25772,111348,65534,2762490,351748,583709,618538,465120,743375,406420,89928,314625,1867,319749,5392,10191,8715,5149,47088,10136,402573,97304,128416,87412,40294,49147,2831323,885605,1678199,267519,2493403,30113,31241,60361,26106,120534,69565,2808034,352268,574660,618128,478718,784260,403554,90083,311530,1941,313553,5275,9664,8424,4688,51834,10116,400385,92872,127265,84869,44134,51245,2876833,894273,1703752,278808,2522967,30857,31118,63882,25914,128297,73798,2853168,342144,576756,620979,490467,822822,380390,84143,293913,2334,289302,4981,9938,8711,5013,52265,10180,377858,84883,121817,80006,42501,48651,3024767,918971,1789836,315960,2612234,31693,31184,69876,29197,163288,87295,3000453,286762,540890,642742,512522,1017537,264807,53600,208853,2354,188365,2623,6814,5839,4499,50615,6052,260997,43678,76097,63512,32907,44803
Vermont,5315,20329,3619,4568,16815,3114,4651,17478,3138,4550,17978,3269,5225,19020,3702,4751,17795,3145,64788,61923,58767,65514,63445,57677,Democratic,Democratic,Democratic,620159,125599,404163,90397,590510,4863,2137,7730,0,0,13468,600406,96433,135864,131452,96735,139922,41209,3019,37971,219,37475,786,407,951,0,0,1000,40590,7071,11865,12894,4005,4755,619339,127986,402530,88823,590525,5591,1814,7877,130,1912,11490,599783,90906,134285,129160,97861,147571,46863,3393,43271,199,43447,650,213,1065,5,363,1120,46223,8122,15240,12182,5198,5481,619732,126325,401614,91793,590099,5916,1820,7908,145,1730,12114,600041,92082,132192,126168,96651,152948,45547,3317,42071,159,42262,702,221,942,4,358,1058,44944,7916,14107,11699,5321,5901,620279,124685,400478,95116,589681,6223,1993,8186,214,1894,12088,600523,91547,132040,121776,96510,158650,41274,3090,38005,179,38402,518,233,761,31,382,947,40616,6879,12869,10232,5269,5367,620457,122937,398661,98859,588765,6717,1980,8752,249,1973,12021,600699,89038,129237,121884,97955,162585,36158,2792,33192,174,33438,507,243,693,37,339,901,35354,5545,11125,8510,4998,5176,618622,118351,389462,110809,583970,7568,2170,9396,0,0,12164,598866,86209,113459,115715,98273,185210,22994,1858,20983,153,21284,602,85,457,0,0,489,22659,2624,6202,6094,3863,3876
Virginia,5663,18516,2100,5500,17130,2486,5239,17056,2436,5708,17915,2956,5278,18733,2340,5857,17945,2683,78222,72006,72459,71392,65570,68114,Democratic,Democratic,Democratic,7887164,1849081,5055962,982121,5489747,1514799,23066,451155,0,169221,234512,7786348,1129130,1500758,1400771,1133412,2622277,982861,108483,865862,8516,573584,238888,4630,70460,0,63229,31123,974010,258392,293450,191493,99065,131610,7788504,1845142,4982213,961149,5437427,1489133,23647,439258,4951,179058,215030,7687228,1061067,1450003,1365547,1097247,2713364,955207,117053,829626,8528,556095,230054,5228,67806,557,69858,25609,946079,240331,285815,182369,98349,139215,7881300,1852537,5032086,996677,5492840,1498836,23411,453808,5023,175017,232365,7779326,1069250,1462270,1367731,1095254,2784821,973047,110620,853035,9392,570615,231491,5424,69461,681,68050,27325,963466,239915,289604,188559,102090,143298,7972925,1858957,5079047,1034921,5537795,1511500,22174,471813,4855,175339,249449,7870167,1070025,1457589,1355481,1098427,2888645,968444,108863,848953,10628,569748,227428,5052,71920,529,65289,28478,958627,236740,284271,186198,101239,150179,8043013,1861692,5105972,1075349,5562047,1524868,21301,489012,4839,178889,262057,7939612,1068834,1461734,1364193,1107485,2937366,916040,102291,803069,10680,538607,215140,4216,67220,527,61484,28846,905759,224945,268230,174424,95932,142228,8199576,1864852,5134008,1200716,5570822,1541998,22294,527906,8099,224686,303771,8095257,1016003,1399970,1346207,1098436,3234641,714884,89012,615990,9882,413072,152212,1865,44048,383,77271,26033,705504,170625,200428,136289,77371,120791
Washington,4311,18188,2525,5048,18150,2413,4211,16846,2755,4862,18826,2260,4548,17731,2934,5028,18301,2747,71019,69282,64408,63744,71709,67106,Democratic,Democratic,Democratic,6716822,1578179,4297899,840744,5272731,227951,89041,498894,38957,275202,314046,6647546,1048112,1434467,1315912,980255,1868800,952630,97208,849330,6092,665605,45481,20524,70094,5948,104838,40140,945814,258151,312866,187332,88411,99054,6628521,1574104,4236714,817703,5224125,225813,91249,480113,38290,263233,305698,6559228,956710,1353211,1266140,994371,1988796,895281,102094,786918,6269,630098,39418,23485,64766,6953,90961,39600,888059,220992,281819,180307,93926,111015,6711488,1583191,4276421,851876,5271934,232613,91997,495318,39834,260785,319007,6641707,978527,1360272,1262292,996854,2043762,924141,96575,820932,6634,650443,41153,23944,67336,7139,92839,41287,916313,228799,286371,186171,99428,115544,6792627,1588492,4315237,888898,5314468,238897,92868,514627,41679,256831,333257,6722726,972129,1357204,1277813,994450,2121130,878242,88903,782241,7098,613434,39185,22962,65769,7366,88526,41000,870778,213128,268272,179960,94278,115140,6878854,1595015,4355714,928125,5355549,242517,90850,531501,43392,260867,354178,6808653,953804,1358616,1288054,1008902,2199277,787469,77912,702364,7193,546253,35537,21082,58233,7177,82979,36208,780130,183364,236233,165212,86600,108721,7184110,1627304,4497648,1059158,5441559,256411,92262,592094,47396,346472,407916,7112492,822427,1266971,1273880,1060940,2688274,428092,41436,380054,6602,262207,16699,14497,29645,5673,77329,22042,423227,77555,119379,96923,55067,74303
West Virginia,4117,19605,1833,4479,17424,1933,3141,18329,2008,4553,18813,2384,4884,19539,2483,4092,17260,3156,52244,48522,43121,42683,45668,43385,Republican,Republican,Republican,1826485,385302,1148554,292629,1720342,50475,2511,11436,0,0,37501,1805505,467305,479849,338401,226180,293770,272287,16994,254549,744,252369,10597,446,1888,0,0,5968,269717,105611,87050,40761,19527,16768,1820798,385714,1144770,290314,1714636,52741,2687,12607,521,3614,33992,1799911,439912,473410,363801,232843,289945,261642,18723,242136,783,244076,9305,650,1907,209,860,4635,258952,98405,83502,42563,17785,16697,1824020,383755,1144202,296063,1715550,52900,2695,12762,643,4218,35252,1802979,438912,467689,351229,237054,308095,261520,18526,242184,810,243654,9292,679,1915,255,1292,4433,258873,96020,85015,39952,19511,18375,1824283,382462,1138985,302836,1713034,53794,2905,13082,619,4609,36240,1803377,431676,463916,351011,238145,318629,240355,16102,223474,779,222967,8512,558,2196,247,1502,4373,238085,84858,78060,38475,18827,17865,1822400,381298,1130559,310543,1710435,55582,2747,13409,601,4093,35533,1801742,425259,462585,349091,239567,325240,208779,14971,193140,668,193300,7678,383,1835,209,1191,4183,207052,71511,66917,34593,17561,16470,1802572,375790,1091444,335338,1683372,63787,3769,13939,0,6930,30371,1782243,391139,448410,349284,233439,359971,95882,7783,87568,531,87865,4694,262,950,0,1224,839,95255,26305,28985,20652,9397,9916
Wisconsin,4132,19369,3259,4379,18102,2938,4176,17858,2833,4091,18571,3249,4772,18835,3729,3817,17477,3534,65033,59135,59213,62678,59106,56811,Democratic,Republican,Shifter,5634063,1322921,3549651,761491,4924996,339554,46075,130018,0,76841,115153,5557254,967913,1304807,1189232,853786,1241516,506674,58236,444909,3529,393741,47556,10383,18486,0,23986,12275,498637,146589,166020,102891,41514,41623,5609422,1331719,3524710,752993,4906716,336479,47546,129003,1272,81466,106940,5533860,882635,1261638,1168302,893779,1327506,503740,63064,438182,2494,392548,46431,10077,17004,106,25863,11711,498143,143119,167089,96455,45122,46358,5630579,1323298,3535060,772221,4912696,339093,47659,132144,1279,84530,113178,5554648,902076,1258911,1157373,882415,1353873,512357,63221,446629,2507,396061,47653,10139,17351,148,28614,12391,506355,145367,168112,99151,46822,46903,5649703,1314966,3540129,794608,4912093,341410,47982,136939,1283,91769,118227,5572786,896773,1251597,1138443,882157,1403816,489761,60079,427060,2622,373775,47018,10626,17364,182,29067,11729,483944,137574,160101,94108,46202,45959,5668363,1307902,3541470,818991,4914802,344648,48594,143183,1208,95182,120746,5590962,879643,1234808,1141181,890953,1444377,448384,56055,389484,2845,341067,42616,10039,15903,181,28337,10241,442527,123556,146483,87075,42679,42734,5706681,1283539,3522518,900624,4891563,346353,50703,154791,0,124691,137046,5629338,782730,1150787,1095272,911154,1689395,300206,45408,252268,2530,221522,26051,7612,10460,0,27293,7132,296833,62723,90945,66266,32081,44818
Wyoming,4788,18462,2600,4371,17378,2298,4085,18356,2316,4614,17589,2742,5289,18145,3881,4948,19617,3024,68094,64073,59686,60098,64971,59882,Republican,Republican,Republican,558832,134594,354598,69640,507818,4714,11882,4726,0,14451,15063,552324,78609,122949,117381,93022,140363,85831,11638,73899,294,70977,1659,3198,269,0,5959,3747,84676,16997,29318,16342,10911,11108,553168,134264,350829,68075,505097,4069,12698,4288,197,11846,14973,546648,74376,119677,115611,91488,145496,82570,11766,70343,461,70405,775,4080,613,40,3838,2819,81580,16686,26228,17881,9553,11232,560397,135880,354373,70144,510544,4518,12941,4670,186,12213,15325,553847,75665,117667,114785,93001,152729,83611,10992,72248,371,70752,895,4401,628,59,4031,2845,82529,17652,25296,18198,9732,11651,565737,136360,356491,72886,514752,5510,12843,5316,324,12030,14962,559148,77133,114486,112927,91493,163109,80469,9988,70087,394,67807,1005,4518,805,29,3647,2658,79349,17422,23375,17212,8991,12349,570198,137221,357281,75696,519921,5780,12210,5233,411,11597,15046,563652,76309,115135,111257,93653,167298,76302,10007,65955,340,64934,931,4282,591,18,3302,2244,75199,16061,22808,15375,9040,11915,576027,140464,350428,85135,531354,0,12469,5854,0,5654,15020,569483,72819,115397,109566,92658,179043,66513,12328,53672,513,57929,0,5189,213,0,1177,1278,65635,11704,21773,14340,7763,10055
